epoch,timestamp,operations,operations-delta,operations/second
1671784258.773,23/12/2022 08:30:58,1650051,18435,18435
1671784259.773,23/12/2022 08:30:59,1667103,17052,17052
1671784260.773,23/12/2022 08:31:00,1685140,18037,18037
1671784261.773,23/12/2022 08:31:01,1701953,16813,16813
1671784262.774,23/12/2022 08:31:02,1720208,18255,18236.763
1671784263.774,23/12/2022 08:31:03,1738371,18163,18163
1671784264.774,23/12/2022 08:31:04,1756281,17910,17910
1671784265.774,23/12/2022 08:31:05,1773893,17612,17612
1671784266.774,23/12/2022 08:31:06,1791681,17788,17788
1671784267.774,23/12/2022 08:31:07,1809986,18305,18305
1671784268.774,23/12/2022 08:31:08,1827135,17149,17149
1671784269.774,23/12/2022 08:31:09,1844819,17684,17684
1671784270.774,23/12/2022 08:31:10,1862789,17970,17970
1671784271.774,23/12/2022 08:31:11,1880380,17591,17591
1671784272.775,23/12/2022 08:31:12,1897817,17437,17419.58
1671784273.775,23/12/2022 08:31:13,1915356,17539,17539
1671784274.775,23/12/2022 08:31:14,1933364,18008,18008
1671784275.775,23/12/2022 08:31:15,1951513,18149,18149
1671784276.775,23/12/2022 08:31:16,1968764,17251,17251
1671784277.775,23/12/2022 08:31:17,1986915,18151,18151
1671784278.775,23/12/2022 08:31:18,2003930,17015,17015
1671784279.775,23/12/2022 08:31:19,2021636,17706,17706
1671784280.775,23/12/2022 08:31:20,2039416,17780,17780
1671784281.775,23/12/2022 08:31:21,2056606,17190,17190
1671784282.776,23/12/2022 08:31:22,2074623,18017,17999.001
1671784283.776,23/12/2022 08:31:23,2092449,17826,17826
1671784284.776,23/12/2022 08:31:24,2110440,17991,17991
1671784285.776,23/12/2022 08:31:25,2128300,17860,17860
1671784286.776,23/12/2022 08:31:26,2146663,18363,18363
1671784287.776,23/12/2022 08:31:27,2164670,18007,18007
1671784288.776,23/12/2022 08:31:28,2182857,18187,18187
1671784289.776,23/12/2022 08:31:29,2201233,18376,18376
1671784290.776,23/12/2022 08:31:30,2219831,18598,18598
1671784291.776,23/12/2022 08:31:31,2236786,16955,16955
1671784292.776,23/12/2022 08:31:32,2254687,17901,17901
1671784293.777,23/12/2022 08:31:33,2273020,18333,18314.685
1671784294.777,23/12/2022 08:31:34,2290045,17025,17025
1671784295.777,23/12/2022 08:31:35,2308263,18218,18218
1671784296.777,23/12/2022 08:31:36,2325135,16872,16872
1671784297.777,23/12/2022 08:31:37,2343249,18114,18114
1671784298.777,23/12/2022 08:31:38,2360652,17403,17403
1671784299.777,23/12/2022 08:31:39,2378949,18297,18297
1671784300.777,23/12/2022 08:31:40,2397178,18229,18229
1671784301.777,23/12/2022 08:31:41,2415053,17875,17875
1671784302.777,23/12/2022 08:31:42,2432841,17788,17788
1671784303.778,23/12/2022 08:31:43,2450774,17933,17915.085
1671784304.778,23/12/2022 08:31:44,2468995,18221,18221
1671784305.778,23/12/2022 08:31:45,2486819,17824,17824
1671784306.778,23/12/2022 08:31:46,2504905,18086,18086
1671784307.778,23/12/2022 08:31:47,2523369,18464,18464
1671784308.778,23/12/2022 08:31:48,2541487,18118,18118
1671784309.778,23/12/2022 08:31:49,2559460,17973,17973
1671784310.778,23/12/2022 08:31:50,2576165,16705,16705
1671784311.778,23/12/2022 08:31:51,2594251,18086,18086
1671784312.778,23/12/2022 08:31:52,2612350,18099,18099
1671784313.778,23/12/2022 08:31:53,2629055,16705,16705
1671784314.778,23/12/2022 08:31:54,2646848,17793,17793
1671784315.779,23/12/2022 08:31:55,2663544,16696,16679.321
1671784316.779,23/12/2022 08:31:56,2681492,17948,17948
1671784317.779,23/12/2022 08:31:57,2699388,17896,17896
1671784318.779,23/12/2022 08:31:58,2717388,18000,18000
1671784319.779,23/12/2022 08:31:59,2735333,17945,17945
1671784320.779,23/12/2022 08:32:00,2753408,18075,18075
1671784321.779,23/12/2022 08:32:01,2771592,18184,18184
1671784322.779,23/12/2022 08:32:02,2789592,18000,18000
1671784323.779,23/12/2022 08:32:03,2807573,17981,17981
1671784324.779,23/12/2022 08:32:04,2825306,17733,17733
1671784325.779,23/12/2022 08:32:05,2843687,18381,18381
1671784326.779,23/12/2022 08:32:06,2861941,18254,18254
1671784327.78,23/12/2022 08:32:07,2880132,18191,18172.827
1671784328.78,23/12/2022 08:32:08,2898320,18188,18188
1671784329.78,23/12/2022 08:32:09,2915975,17655,17655
1671784330.78,23/12/2022 08:32:10,2933873,17898,17898
1671784331.78,23/12/2022 08:32:11,2950551,16678,16678
1671784332.78,23/12/2022 08:32:12,2967406,16855,16855
1671784333.78,23/12/2022 08:32:13,2983834,16428,16428
1671784334.78,23/12/2022 08:32:14,3001412,17578,17578
1671784335.78,23/12/2022 08:32:15,3019590,18178,18178
1671784336.78,23/12/2022 08:32:16,3037667,18077,18077
1671784337.78,23/12/2022 08:32:17,3055919,18252,18252
1671784338.78,23/12/2022 08:32:18,3074124,18205,18205
1671784339.781,23/12/2022 08:32:19,3092363,18239,18220.779
1671784340.781,23/12/2022 08:32:20,3110317,17954,17954
1671784341.781,23/12/2022 08:32:21,3128223,17906,17906
1671784342.781,23/12/2022 08:32:22,3146256,18033,18033
1671784343.781,23/12/2022 08:32:23,3164173,17917,17917
1671784344.781,23/12/2022 08:32:24,3182004,17831,17831
1671784345.781,23/12/2022 08:32:25,3200081,18077,18077
1671784346.781,23/12/2022 08:32:26,3217937,17856,17856
1671784347.781,23/12/2022 08:32:27,3235951,18014,18014
1671784348.781,23/12/2022 08:32:28,3253306,17355,17355
1671784349.781,23/12/2022 08:32:29,3271503,18197,18197
1671784350.781,23/12/2022 08:32:30,3288481,16978,16978
1671784351.782,23/12/2022 08:32:31,3306637,18156,18137.862
1671784352.782,23/12/2022 08:32:32,3324754,18117,18117
1671784353.782,23/12/2022 08:32:33,3342538,17784,17784
1671784354.782,23/12/2022 08:32:34,3360618,18080,18080
1671784355.782,23/12/2022 08:32:35,3378567,17949,17949
1671784356.782,23/12/2022 08:32:36,3396547,17980,17980
1671784357.782,23/12/2022 08:32:37,3414310,17763,17763
1671784358.782,23/12/2022 08:32:38,3431812,17502,17502
1671784359.782,23/12/2022 08:32:39,3447994,16182,16182
1671784360.782,23/12/2022 08:32:40,3464204,16210,16210
1671784361.783,23/12/2022 08:32:41,3482108,17904,17886.114
1671784362.783,23/12/2022 08:32:42,3499979,17871,17871
1671784363.783,23/12/2022 08:32:43,3518215,18236,18236
1671784364.783,23/12/2022 08:32:44,3536421,18206,18206
1671784365.783,23/12/2022 08:32:45,3554384,17963,17963
1671784366.783,23/12/2022 08:32:46,3572140,17756,17756
1671784367.783,23/12/2022 08:32:47,3590124,17984,17984
1671784368.783,23/12/2022 08:32:48,3607937,17813,17813
1671784369.783,23/12/2022 08:32:49,3626053,18116,18116
1671784370.783,23/12/2022 08:32:50,3644155,18102,18102
1671784371.783,23/12/2022 08:32:51,3662308,18153,18153
1671784372.784,23/12/2022 08:32:52,3680653,18345,18326.673
1671784373.784,23/12/2022 08:32:53,3698848,18195,18195
1671784374.784,23/12/2022 08:32:54,3717283,18435,18435
1671784375.784,23/12/2022 08:32:55,3735256,17973,17973
1671784376.784,23/12/2022 08:32:56,3753103,17847,17847
1671784377.784,23/12/2022 08:32:57,3771349,18246,18246
1671784378.784,23/12/2022 08:32:58,3789395,18046,18046
1671784379.784,23/12/2022 08:32:59,3807717,18322,18322
1671784380.784,23/12/2022 08:33:00,3825989,18272,18272
1671784381.784,23/12/2022 08:33:01,3844204,18215,18215
1671784382.784,23/12/2022 08:33:02,3861183,16979,16979
1671784383.784,23/12/2022 08:33:03,3879311,18128,18128
1671784384.785,23/12/2022 08:33:04,3897520,18209,18190.809
1671784385.785,23/12/2022 08:33:05,3915254,17734,17734
1671784386.785,23/12/2022 08:33:06,3932482,17228,17228
1671784387.785,23/12/2022 08:33:07,3949731,17249,17249
1671784388.785,23/12/2022 08:33:08,3966345,16614,16614
1671784389.785,23/12/2022 08:33:09,3984629,18284,18284
1671784390.785,23/12/2022 08:33:10,4002607,17978,17978
1671784391.785,23/12/2022 08:33:11,4020657,18050,18050
1671784392.785,23/12/2022 08:33:12,4038867,18210,18210
1671784393.785,23/12/2022 08:33:13,4056890,18023,18023
1671784394.785,23/12/2022 08:33:14,4074679,17789,17789
1671784395.786,23/12/2022 08:33:15,4092451,17772,17754.246
1671784396.786,23/12/2022 08:33:16,4109824,17373,17373
1671784397.786,23/12/2022 08:33:17,4127772,17948,17948
1671784398.786,23/12/2022 08:33:18,4144987,17215,17215
1671784399.786,23/12/2022 08:33:19,4163141,18154,18154
1671784400.786,23/12/2022 08:33:20,4180928,17787,17787
1671784401.786,23/12/2022 08:33:21,4198616,17688,17688
1671784402.786,23/12/2022 08:33:22,4216497,17881,17881
1671784403.786,23/12/2022 08:33:23,4234244,17747,17747
1671784404.786,23/12/2022 08:33:24,4250480,16236,16236
1671784405.786,23/12/2022 08:33:25,4267903,17423,17423
1671784406.787,23/12/2022 08:33:26,4286010,18107,18088.911
1671784407.787,23/12/2022 08:33:27,4303901,17891,17891
1671784408.787,23/12/2022 08:33:28,4321403,17502,17502
1671784409.787,23/12/2022 08:33:29,4339257,17854,17854
1671784410.787,23/12/2022 08:33:30,4357257,18000,18000
1671784411.787,23/12/2022 08:33:31,4375005,17748,17748
1671784412.787,23/12/2022 08:33:32,4392838,17833,17833
1671784413.787,23/12/2022 08:33:33,4410848,18010,18010
1671784414.787,23/12/2022 08:33:34,4428886,18038,18038
1671784415.787,23/12/2022 08:33:35,4446330,17444,17444
1671784416.787,23/12/2022 08:33:36,4463869,17539,17539
1671784417.787,23/12/2022 08:33:37,4481558,17689,17689
1671784418.788,23/12/2022 08:33:38,4497796,16238,16221.778
1671784419.788,23/12/2022 08:33:39,4514106,16310,16310
1671784420.788,23/12/2022 08:33:40,4531899,17793,17793
1671784421.788,23/12/2022 08:33:41,4549717,17818,17818
1671784422.788,23/12/2022 08:33:42,4567515,17798,17798
1671784423.788,23/12/2022 08:33:43,4585128,17613,17613
1671784424.788,23/12/2022 08:33:44,4602569,17441,17441
1671784425.788,23/12/2022 08:33:45,4619728,17159,17159
1671784426.788,23/12/2022 08:33:46,4637424,17696,17696
1671784427.788,23/12/2022 08:33:47,4655150,17726,17726
1671784428.788,23/12/2022 08:33:48,4672953,17803,17803
1671784429.789,23/12/2022 08:33:49,4690458,17505,17487.512
1671784430.789,23/12/2022 08:33:50,4708094,17636,17636
1671784431.789,23/12/2022 08:33:51,4725814,17720,17720
1671784432.789,23/12/2022 08:33:52,4743502,17688,17688
1671784433.789,23/12/2022 08:33:53,4760921,17419,17419
1671784434.789,23/12/2022 08:33:54,4778730,17809,17809
1671784435.789,23/12/2022 08:33:55,4795961,17231,17231
1671784436.789,23/12/2022 08:33:56,4813677,17716,17716
1671784437.789,23/12/2022 08:33:57,4831513,17836,17836
1671784438.79,23/12/2022 08:33:58,4849108,17595,17577.423
1671784439.79,23/12/2022 08:33:59,4866720,17612,17612
1671784440.79,23/12/2022 08:34:00,4884338,17618,17618
1671784441.79,23/12/2022 08:34:01,4902339,18001,18001
1671784442.79,23/12/2022 08:34:02,4920328,17989,17989
1671784443.79,23/12/2022 08:34:03,4937668,17340,17340
1671784444.79,23/12/2022 08:34:04,4955121,17453,17453
1671784445.79,23/12/2022 08:34:05,4972726,17605,17605
1671784446.79,23/12/2022 08:34:06,4990557,17831,17831
1671784447.79,23/12/2022 08:34:07,5008416,17859,17859
1671784448.79,23/12/2022 08:34:08,5026103,17687,17687
1671784449.79,23/12/2022 08:34:09,5043986,17883,17883
1671784450.79,23/12/2022 08:34:10,5062002,18016,18016
1671784451.791,23/12/2022 08:34:11,5079931,17929,17911.089
1671784452.791,23/12/2022 08:34:12,5097811,17880,17880
1671784453.791,23/12/2022 08:34:13,5115688,17877,17877
1671784454.791,23/12/2022 08:34:14,5133576,17888,17888
1671784455.791,23/12/2022 08:34:15,5151459,17883,17883
1671784456.791,23/12/2022 08:34:16,5169078,17619,17619
1671784457.791,23/12/2022 08:34:17,5184975,15897,15897
1671784458.791,23/12/2022 08:34:18,5199579,14604,14604
1671784459.791,23/12/2022 08:34:19,5217399,17820,17820
1671784460.791,23/12/2022 08:34:20,5235321,17922,17922
1671784461.791,23/12/2022 08:34:21,5253184,17863,17863
1671784462.792,23/12/2022 08:34:22,5270934,17750,17732.268
1671784463.792,23/12/2022 08:34:23,5288528,17594,17594
1671784464.792,23/12/2022 08:34:24,5306323,17795,17795
1671784465.792,23/12/2022 08:34:25,5323978,17655,17655
1671784466.792,23/12/2022 08:34:26,5341524,17546,17546
1671784467.792,23/12/2022 08:34:27,5359157,17633,17633
1671784468.792,23/12/2022 08:34:28,5376888,17731,17731
1671784469.792,23/12/2022 08:34:29,5394539,17651,17651
1671784470.792,23/12/2022 08:34:30,5412768,18229,18229
1671784471.792,23/12/2022 08:34:31,5430399,17631,17631
1671784472.792,23/12/2022 08:34:32,5448148,17749,17749
1671784473.792,23/12/2022 08:34:33,5465960,17812,17812
1671784474.793,23/12/2022 08:34:34,5483868,17908,17890.11
1671784475.793,23/12/2022 08:34:35,5501481,17613,17613
1671784476.793,23/12/2022 08:34:36,5519217,17736,17736
1671784477.793,23/12/2022 08:34:37,5536557,17340,17340
1671784478.793,23/12/2022 08:34:38,5554279,17722,17722
1671784479.793,23/12/2022 08:34:39,5572256,17977,17977
1671784480.793,23/12/2022 08:34:40,5590171,17915,17915
1671784481.793,23/12/2022 08:34:41,5607752,17581,17581
1671784482.793,23/12/2022 08:34:42,5625531,17779,17779
1671784483.793,23/12/2022 08:34:43,5643343,17812,17812
1671784484.793,23/12/2022 08:34:44,5661087,17744,17744
1671784485.793,23/12/2022 08:34:45,5678724,17637,17637
1671784486.794,23/12/2022 08:34:46,5696168,17444,17426.573
1671784487.794,23/12/2022 08:34:47,5713643,17475,17475
1671784488.794,23/12/2022 08:34:48,5731566,17923,17923
1671784489.794,23/12/2022 08:34:49,5749546,17980,17980
1671784490.794,23/12/2022 08:34:50,5767223,17677,17677
1671784491.794,23/12/2022 08:34:51,5784935,17712,17712
1671784492.794,23/12/2022 08:34:52,5802872,17937,17937
1671784493.795,23/12/2022 08:34:53,5820603,17731,17713.287
1671784494.795,23/12/2022 08:34:54,5838404,17801,17801
1671784495.795,23/12/2022 08:34:55,5856271,17867,17867
1671784496.795,23/12/2022 08:34:56,5873995,17724,17724
1671784497.795,23/12/2022 08:34:57,5891947,17952,17952
1671784498.795,23/12/2022 08:34:58,5909464,17517,17517
1671784499.795,23/12/2022 08:34:59,5927454,17990,17990
1671784500.795,23/12/2022 08:35:00,5943552,16098,16098
1671784501.795,23/12/2022 08:35:01,5961135,17583,17583
1671784502.795,23/12/2022 08:35:02,5977253,16118,16118
1671784503.795,23/12/2022 08:35:03,5995014,17761,17761
1671784504.795,23/12/2022 08:35:04,6012795,17781,17781
1671784505.796,23/12/2022 08:35:05,6030571,17776,17758.242
1671784506.796,23/12/2022 08:35:06,6046282,15711,15711
1671784507.796,23/12/2022 08:35:07,6063693,17411,17411
1671784508.796,23/12/2022 08:35:08,6081573,17880,17880
1671784509.796,23/12/2022 08:35:09,6099639,18066,18066
1671784510.796,23/12/2022 08:35:10,6117564,17925,17925
1671784511.796,23/12/2022 08:35:11,6135381,17817,17817
1671784512.796,23/12/2022 08:35:12,6153294,17913,17913
1671784513.796,23/12/2022 08:35:13,6171185,17891,17891
1671784514.796,23/12/2022 08:35:14,6188849,17664,17664
1671784515.796,23/12/2022 08:35:15,6206441,17592,17592
1671784516.796,23/12/2022 08:35:16,6224127,17686,17686
1671784517.797,23/12/2022 08:35:17,6242118,17991,17973.027
1671784518.797,23/12/2022 08:35:18,6260319,18201,18201
1671784519.797,23/12/2022 08:35:19,6278244,17925,17925
1671784520.797,23/12/2022 08:35:20,6295773,17529,17529
1671784521.797,23/12/2022 08:35:21,6313799,18026,18026
1671784522.797,23/12/2022 08:35:22,6331811,18012,18012
1671784523.797,23/12/2022 08:35:23,6349612,17801,17801
1671784524.797,23/12/2022 08:35:24,6367614,18002,18002
1671784525.797,23/12/2022 08:35:25,6385693,18079,18079
1671784526.797,23/12/2022 08:35:26,6403633,17940,17940
1671784527.797,23/12/2022 08:35:27,6421791,18158,18158
1671784528.798,23/12/2022 08:35:28,6439886,18095,18076.923
1671784529.798,23/12/2022 08:35:29,6457877,17991,17991
1671784530.798,23/12/2022 08:35:30,6476014,18137,18137
1671784531.798,23/12/2022 08:35:31,6494279,18265,18265
1671784532.798,23/12/2022 08:35:32,6512685,18406,18406
1671784533.798,23/12/2022 08:35:33,6531007,18322,18322
1671784534.798,23/12/2022 08:35:34,6549129,18122,18122
1671784535.798,23/12/2022 08:35:35,6567215,18086,18086
1671784536.798,23/12/2022 08:35:36,6585850,18635,18635
1671784537.798,23/12/2022 08:35:37,6604436,18586,18586
1671784538.798,23/12/2022 08:35:38,6622861,18425,18425
1671784539.799,23/12/2022 08:35:39,6639197,16336,16319.68
1671784540.799,23/12/2022 08:35:40,6657373,18176,18176
1671784541.799,23/12/2022 08:35:41,6675709,18336,18336
1671784542.799,23/12/2022 08:35:42,6694048,18339,18339
1671784543.799,23/12/2022 08:35:43,6712378,18330,18330
1671784544.799,23/12/2022 08:35:44,6730648,18270,18270
1671784545.799,23/12/2022 08:35:45,6748984,18336,18336
1671784546.799,23/12/2022 08:35:46,6767560,18576,18576
1671784547.799,23/12/2022 08:35:47,6786120,18560,18560
1671784548.799,23/12/2022 08:35:48,6804056,17936,17936
1671784549.799,23/12/2022 08:35:49,6822491,18435,18435
1671784550.799,23/12/2022 08:35:50,6840540,18049,18049
1671784551.8,23/12/2022 08:35:51,6858694,18154,18135.864
1671784552.8,23/12/2022 08:35:52,6876810,18116,18116
1671784553.8,23/12/2022 08:35:53,6893316,16506,16506
1671784554.8,23/12/2022 08:35:54,6911605,18289,18289
1671784555.8,23/12/2022 08:35:55,6929576,17971,17971
1671784556.8,23/12/2022 08:35:56,6947668,18092,18092
1671784557.8,23/12/2022 08:35:57,6965768,18100,18100
1671784558.8,23/12/2022 08:35:58,6984037,18269,18269
1671784559.8,23/12/2022 08:35:59,7000326,16289,16289
1671784560.8,23/12/2022 08:36:00,7018938,18612,18612
1671784561.8,23/12/2022 08:36:01,7036832,17894,17894
1671784562.801,23/12/2022 08:36:02,7054636,17804,17786.214
1671784563.801,23/12/2022 08:36:03,7073115,18479,18479
1671784564.801,23/12/2022 08:36:04,7091482,18367,18367
1671784565.801,23/12/2022 08:36:05,7109561,18079,18079
1671784566.801,23/12/2022 08:36:06,7127330,17769,17769
1671784567.801,23/12/2022 08:36:07,7145192,17862,17862
1671784568.801,23/12/2022 08:36:08,7163304,18112,18112
1671784569.801,23/12/2022 08:36:09,7181562,18258,18258
1671784570.801,23/12/2022 08:36:10,7199683,18121,18121
1671784571.801,23/12/2022 08:36:11,7217636,17953,17953
1671784572.801,23/12/2022 08:36:12,7235914,18278,18278
1671784573.801,23/12/2022 08:36:13,7254030,18116,18116
1671784574.802,23/12/2022 08:36:14,7272233,18203,18184.815
1671784575.802,23/12/2022 08:36:15,7290774,18541,18541
1671784576.802,23/12/2022 08:36:16,7309002,18228,18228
1671784577.802,23/12/2022 08:36:17,7327484,18482,18482
1671784578.802,23/12/2022 08:36:18,7345838,18354,18354
1671784579.802,23/12/2022 08:36:19,7364266,18428,18428
1671784580.802,23/12/2022 08:36:20,7382868,18602,18602
1671784581.802,23/12/2022 08:36:21,7401653,18785,18785
1671784582.802,23/12/2022 08:36:22,7419751,18098,18098
1671784583.802,23/12/2022 08:36:23,7438077,18326,18326
1671784584.802,23/12/2022 08:36:24,7456397,18320,18320
1671784585.802,23/12/2022 08:36:25,7474494,18097,18097
1671784586.803,23/12/2022 08:36:26,7492362,17868,17850.15
1671784587.803,23/12/2022 08:36:27,7509956,17594,17594
1671784588.803,23/12/2022 08:36:28,7525917,15961,15961
1671784589.803,23/12/2022 08:36:29,7543926,18009,18009
1671784590.803,23/12/2022 08:36:30,7561991,18065,18065
1671784591.803,23/12/2022 08:36:31,7580157,18166,18166
1671784592.803,23/12/2022 08:36:32,7598389,18232,18232
1671784593.803,23/12/2022 08:36:33,7616625,18236,18236
1671784594.803,23/12/2022 08:36:34,7634497,17872,17872
1671784595.803,23/12/2022 08:36:35,7652462,17965,17965
1671784596.803,23/12/2022 08:36:36,7670321,17859,17859
1671784597.804,23/12/2022 08:36:37,7687706,17385,17367.632
1671784598.804,23/12/2022 08:36:38,7705959,18253,18253
1671784599.804,23/12/2022 08:36:39,7724162,18203,18203
1671784600.804,23/12/2022 08:36:40,7742157,17995,17995
1671784601.804,23/12/2022 08:36:41,7760118,17961,17961
1671784602.804,23/12/2022 08:36:42,7778450,18332,18332
1671784603.804,23/12/2022 08:36:43,7796971,18521,18521
1671784604.804,23/12/2022 08:36:44,7815271,18300,18300
1671784605.804,23/12/2022 08:36:45,7833605,18334,18334
1671784606.804,23/12/2022 08:36:46,7851400,17795,17795
1671784607.804,23/12/2022 08:36:47,7867209,15809,15809
1671784608.805,23/12/2022 08:36:48,7885639,18430,18411.588
1671784609.805,23/12/2022 08:36:49,7904046,18407,18407
1671784610.805,23/12/2022 08:36:50,7922442,18396,18396
1671784611.805,23/12/2022 08:36:51,7940773,18331,18331
1671784612.805,23/12/2022 08:36:52,7958740,17967,17967
1671784613.805,23/12/2022 08:36:53,7977096,18356,18356
1671784614.805,23/12/2022 08:36:54,7995561,18465,18465
1671784615.805,23/12/2022 08:36:55,8011570,16009,16009
1671784616.805,23/12/2022 08:36:56,8029737,18167,18167
1671784617.805,23/12/2022 08:36:57,8047749,18012,18012
1671784618.805,23/12/2022 08:36:58,8065874,18125,18125
1671784619.806,23/12/2022 08:36:59,8084277,18403,18384.615
